1	0.659566	SUPERFIELD
2:2:4	0.0020909	CHEM REV	CHEMICAL REVIEWS
2:2:5	0.0020237	CHEM MATER	CHEMISTRY OF MATERIALS
2:2:6	0.0013507	CHEM-EUR J	CHEMISTRY-A EUROPEAN JOURNAL
2:2:7	0.0009532	ACCOUNTS CHEM RES	ACCOUNTS OF CHEMICAL RESEARCH
2:2:8	0.00076515	J CATAL	JOURNAL OF CATALYSIS
2:2:9	0.00051929	COORDIN CHEM REV	COORDINATION CHEMISTRY REVIEWS
2:2:10	0.00040759	J COMPUT CHEM	JOURNAL OF COMPUTATIONAL CHEMISTRY
2:2:11	0.0003485	J APPL CRYSTALLOGR	JOURNAL OF APPLIED CRYSTALLOGRAPHY
2:2:12	0.00030789	CHEM SOC REV	CHEMICAL SOCIETY REVIEWS
2:2:13	0.00026819	PROG POLYM SCI	PROGRESS IN POLYMER SCIENCE
2:2:14	0.0001781	TOP CURR CHEM	TOPICS IN CURRENT CHEMISTRY
2:2:15	0.00017161	ANNU REV PHYS CHEM	ANNUAL REVIEW OF PHYSICAL CHEMISTRY
2:2:16	0.00014527	CURR OPIN COLLOID IN	CURRENT OPINION IN COLLOID & INTERFACE SCIENCE
2:2:17	0.00013123	NAT PROD REP	NATURAL PRODUCT REPORTS
2:2:18	0.00012893	ADV COLLOID INTERFAC	ADVANCES IN COLLOID AND INTERFACE SCIENCE
2:2:19	7.8371e-05	ADV POLYM SCI	ADVANCES IN POLYMER SCIENCE
2:2:20	5.5431e-05	INT REV PHYS CHEM	INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY
2:2:21	5.0678e-05	CATAL REV	CATALYSIS REVIEWS-SCIENCE AND ENGINEERING
2:2:22	4.9458e-05	PROG NUCL MAG RES SP	PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY
2:2:23	4.6775e-05	J PHYS CHEM REF DATA	JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA
2:2:24	2.3065e-05	ADV INORG CHEM	ADVANCES IN INORGANIC CHEMISTRY
2:2:25	2.2876e-05	ALDRICHIM ACTA	ALDRICHIMICA ACTA
2:2:26	2.0447e-05	ADV CATAL	ADVANCES IN CATALYSIS
2:3	0.0192095	ASTRONOMY & ASTROPHYSICS
2:3:1	0.006892	ASTROPHYS J	ASTROPHYSICAL JOURNAL
2:3:2	0.0037418	ASTRON ASTROPHYS	ASTRONOMY & ASTROPHYSICS
2:3:3	0.0032591	MON NOT R ASTRON SOC	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY
2:3:4	0.001954	ASTRON J	ASTRONOMICAL JOURNAL
